filepath,xmin,xmax,ymin,ymax
./images_labeled_xml\N190.xml,896,1558,814,969
./images_labeled_xml\N191.xml,317,568,319,397
./images_labeled_xml\N192.xml,543,769,390,461
./images_labeled_xml\N193.xml,274,502,2,59
./images_labeled_xml\N195.xml,186,367,137,232
./images_labeled_xml\N196.xml,119,220,84,111
./images_labeled_xml\N197.xml,120,184,103,130
./images_labeled_xml\N198.xml,214,335,138,169
./images_labeled_xml\N199.xml,45,112,206,255
./images_labeled_xml\N2.xml,1804,2493,1734,1882
./images_labeled_xml\N20.xml,498,796,729,814
./images_labeled_xml\N200.xml,196,442,227,293
./images_labeled_xml\N201.xml,157,290,193,229
./images_labeled_xml\N202.xml,157,329,260,296
./images_labeled_xml\N203.xml,765,1258,821,905
./images_labeled_xml\N204.xml,94,206,307,334
./images_labeled_xml\N205.xml,322,479,169,203
./images_labeled_xml\N206.xml,121,215,120,147
./images_labeled_xml\N207.xml,213,339,280,307
./images_labeled_xml\N208.xml,199,274,203,221
./images_labeled_xml\N209.xml,145,319,200,244
./images_labeled_xml\N21.xml,244,403,221,258
./images_labeled_xml\N210.xml,143,337,210,254
./images_labeled_xml\N211.xml,74,160,149,175
./images_labeled_xml\N212.xml,159,353,115,173
./images_labeled_xml\N213.xml,131,209,129,153
./images_labeled_xml\N214.xml,167,277,189,226
./images_labeled_xml\N215.xml,85,258,390,446
./images_labeled_xml\N216.xml,322,682,300,371
./images_labeled_xml\N217.xml,404,585,429,468
./images_labeled_xml\N218.xml,176,301,212,238
./images_labeled_xml\N219.xml,1,300,92,154
./images_labeled_xml\N22.xml,493,858,885,967
./images_labeled_xml\N220.xml,182,349,238,273
./images_labeled_xml\N221.xml,104,209,153,182
./images_labeled_xml\N222.xml,127,183,122,156
./images_labeled_xml\N223.xml,69,585,79,183
./images_labeled_xml\N224.xml,164,272,223,247
./images_labeled_xml\N225.xml,775,1142,965,1101
./images_labeled_xml\N226.xml,142,343,253,304
./images_labeled_xml\N227.xml,626,768,280,359
./images_labeled_xml\N229.xml,358,1031,294,540
./images_labeled_xml\N23.xml,107,201,264,288
./images_labeled_xml\N230.xml,271,484,332,384
./images_labeled_xml\N231.xml,581,700,273,319
./images_labeled_xml\N232.xml,286,451,216,258
./images_labeled_xml\N233.xml,99,223,20,50
./images_labeled_xml\N234.xml,224,307,158,183
./images_labeled_xml\N235.xml,44,656,128,391
./images_labeled_xml\N236.xml,313,380,111,141
./images_labeled_xml\N237.xml,121,243,163,198
./images_labeled_xml\N238.xml,165,341,129,170
./images_labeled_xml\N239.xml,106,263,238,276
./images_labeled_xml\N24.xml,151,280,193,224
./images_labeled_xml\N240.xml,164,285,99,137
./images_labeled_xml\N241.xml,251,542,308,385
./images_labeled_xml\N242.xml,202,386,190,227
./images_labeled_xml\N244.xml,335,452,313,343
./images_labeled_xml\N245.xml,192,364,279,319
./images_labeled_xml\N246.xml,23,160,261,321
./images_labeled_xml\N247.xml,641,886,518,578
./images_labeled_xml\N248.xml,288,429,248,281
./images_labeled_xml\N25.xml,132,235,169,193
./images_labeled_xml\N27.xml,696,1061,546,677
./images_labeled_xml\N28.xml,738,1009,654,722
./images_labeled_xml\N3.xml,73,260,381,462
./images_labeled_xml\N30.xml,928,1219,543,606
./images_labeled_xml\N31.xml,256,381,233,261
./images_labeled_xml\N32.xml,360,500,171,206
./images_labeled_xml\N33.xml,856,1218,665,751
./images_labeled_xml\N34.xml,576,902,487,596
./images_labeled_xml\N35.xml,97,229,338,378
./images_labeled_xml\N36.xml,392,517,161,213
./images_labeled_xml\N37.xml,77,200,231,290
./images_labeled_xml\N38.xml,397,645,590,641
./images_labeled_xml\N4.xml,1326,1830,1464,1607
./images_labeled_xml\N40.xml,328,580,208,254
./images_labeled_xml\N42.xml,163,373,253,327
./images_labeled_xml\N43.xml,142,298,281,327
./images_labeled_xml\N44.xml,113,257,282,322
./images_labeled_xml\N45.xml,107,256,147,180
./images_labeled_xml\N46.xml,454,797,109,234
./images_labeled_xml\N47.xml,161,313,212,259
./images_labeled_xml\N48.xml,156,335,259,303
./images_labeled_xml\N49.xml,196,352,135,173
./images_labeled_xml\N5.xml,938,1173,709,762
./images_labeled_xml\N50.xml,101,397,223,291
./images_labeled_xml\N51.xml,383,491,212,248
./images_labeled_xml\N52.xml,234,422,254,294
./images_labeled_xml\N53.xml,217,428,147,188
./images_labeled_xml\N54.xml,189,299,162,188
./images_labeled_xml\N56.xml,302,486,265,303
./images_labeled_xml\N57.xml,211,406,161,202
./images_labeled_xml\N58.xml,221,430,190,231
./images_labeled_xml\N59.xml,1238,2468,1012,1269
./images_labeled_xml\N6.xml,858,1122,611,676
./images_labeled_xml\N61.xml,158,350,252,297
./images_labeled_xml\N62.xml,289,421,188,232
./images_labeled_xml\N63.xml,297,422,174,218
./images_labeled_xml\N64.xml,19,94,249,314
./images_labeled_xml\N65.xml,1024,1273,611,680
./images_labeled_xml\N66.xml,163,320,247,280
./images_labeled_xml\N67.xml,164,336,162,195
./images_labeled_xml\N68.xml,319,479,262,295
./images_labeled_xml\N69.xml,637,840,464,549
./images_labeled_xml\N7.xml,1149,1358,649,702
./images_labeled_xml\N70.xml,186,395,376,430
./images_labeled_xml\N72.xml,186,325,177,212
./images_labeled_xml\N73.xml,124,209,102,130
./images_labeled_xml\N74.xml,161,366,210,250
./images_labeled_xml\N75.xml,466,740,680,737
./images_labeled_xml\N77.xml,361,566,190,297
./images_labeled_xml\N78.xml,146,302,160,196
./images_labeled_xml\N79.xml,113,277,288,347
./images_labeled_xml\N8.xml,788,1525,1675,1851
./images_labeled_xml\N80.xml,248,372,116,144
./images_labeled_xml\N81.xml,66,174,302,332
./images_labeled_xml\N82.xml,456,651,722,778
./images_labeled_xml\N84.xml,235,349,319,352
./images_labeled_xml\N85.xml,163,302,357,427
./images_labeled_xml\N86.xml,448,638,273,338
./images_labeled_xml\N88.xml,208,370,89,173
./images_labeled_xml\N89.xml,150,378,217,269
./images_labeled_xml\N9.xml,142,441,55,167
./images_labeled_xml\N90.xml,53,185,206,232
./images_labeled_xml\N91.xml,239,347,187,211
./images_labeled_xml\N92.xml,113,420,209,260
./images_labeled_xml\N93.xml,385,746,293,434
./images_labeled_xml\N94.xml,63,243,234,274
./images_labeled_xml\N95.xml,23,408,173,391
./images_labeled_xml\N96.xml,137,352,141,186
./images_labeled_xml\N97.xml,175,290,228,255
./images_labeled_xml\N98.xml,563,675,207,238
./images_labeled_xml\N99.xml,158,389,129,193
